label,lat,long
Kingsand,50.3336128930897,-4.19937582310552
Cawsand,50.3308770287535,-4.20135718723489
Tregonhawke,50.3408694024974,-4.24284841768198
Sharrow,50.3476,-4.2596
Portwrinkle,50.3614649870999,-4.30766544034371
Downderry,50.3610043414486,-4.37077575632986
Seaton (Cornwall),50.3643721667834,-4.38641162405235
Millendreath,50.3610883752151,-4.43630361658836
East Looe,50.3525841676456,-4.45147295019057
Pendower,50.2056700645544,-4.94779756978228
Porthcurnick,50.1861488307772,-4.97251413001177
Gyllyngvase,50.1446385955148,-5.06736772446128
Swanpool,50.1406373490229,-5.07579001240729
Maenporth,50.1249624436234,-5.09353481382533
Porthtowan,50.2875216194933,-5.24241622838034
Chapel Porth,50.3004,-5.2348
Trevaunance Cove,50.3204028346129,-5.2011963562627
Perranporth,50.349372204644,-5.1550635763185
Perranporth Penhale Sands,50.3593678651711,-5.1513676068956
Holywell Bay,50.3919113546784,-5.1455057863139
Porthallow,50.0685773406125,-5.07928041433367
Porthoustock,50.0555729641758,-5.06419511534881
Coverack,50.024381672247,-5.09711731719632
Kennack Sands,50.0051345550698,-5.16357592477975
Polurrian Cove,50.0233499057156,-5.25623485684049
Poldhu Cove,50.0335544983364,-5.26125534124518
Church Cove,50.0385857260958,-5.26788220436883
Porthleven Sands,50.0810654983874,-5.31481129754882
Praa Sands East,50.0992826747151,-5.37872709464994
Praa Sands West,50.1032457805843,-5.39089540088006
Portreath,50.2612329369265,-5.29363312652798
Porthcothan,50.5090318571474,-5.02351046811618
Treyarnon Bay,50.5261459739228,-5.02262948465841
Constantine Bay,50.533251504212,-5.02266055940275
Booby�s Bay,50.5390451927447,-5.02581546494883
Mother Ivey`s Bay,50.5441430460904,-5.01545210516686
Harlyn Bay,50.5402949099934,-4.99727977974794
Trevone Bay,50.5457518185687,-4.97743858812327
Rock,50.5450705751418,-4.92629281273976
Daymer Bay,50.5613477998629,-4.92645433304806
Polzeath,50.5748227877177,-4.91641319696109
Trebarwith Strand,50.6449814824378,-4.76160973193857
Crackington Haven,50.7419364618183,-4.633780918544
Widemouth Sand,50.7931022337454,-4.55761549184591
Summerleaze,50.8311807246575,-4.55202825641337
Crooklets,50.835814903174,-4.55398560359646
Northcott Mouth,50.8479754597421,-4.55691218098033
Sandymouth,50.8609376590203,-4.55677993814878
Perranuthnoe,50.1122525406346,-5.44245580831161
Marazion,50.1265050340743,-5.480736172252
Long Rock,50.1263574538717,-5.51805830864849
Penzance,50.1146703148637,-5.53552896653342
Wherry Town,50.1089269853027,-5.5448462256399
Porthcurno,50.0429147873402,-5.65039285876609
Sennen,50.0787565561387,-5.69757684991096
Gwynver,50.0893106134689,-5.68887099641775
Porthmeor,50.2153000175372,-5.48338305416661
Porthgwidden,50.2172111971261,-5.47665213877545
Porthminster,50.2086747709166,-5.47631146879273
Carbis Bay,50.1987589771395,-5.46493862733191
Porthkidney Sands,50.1941216239555,-5.43937723793687
Mexico Towans,50.2010542679701,-5.42374749148339
Hayle Towans,50.2047682940131,-5.41701497977548
Upton Towans,50.2151901369931,-5.4028607650972
Gwithian Towans,50.2279961593516,-5.39189088555596
Godrevy Towans,50.2327443602709,-5.39202170810627
Readymoney Cove,50.3295366717995,-4.6451849978973
Polkerris,50.3378794985352,-4.68148770272917
Par Sands,50.3469722189893,-4.69282422743833
Shorthorn Beach,50.3376351846938,-4.72293484370012
Crinnis Beach,50.3361204799296,-4.73381042662777
Charlestown,50.3312049763154,-4.75530986762393
Duporth,50.3274519056748,-4.7618374566786
Porthpean,50.323582322786,-4.76568765910925
Pentewan,50.2875583923612,-4.78255130253817
Polstreath,50.2743864942043,-4.78416897141297
Portmellon,50.2618500765446,-4.78554234471881
Gorran Haven Little Perhaver,50.240842939759,-4.78754286817743
Vault Beach,50.2349042272139,-4.78761701530411
Porthluney,50.2367931235688,-4.84326651369793
Crantock,50.4068339291915,-5.11918706120216
Fistral South,50.4141638052486,-5.10149764441901
Fistral North,50.4177321832166,-5.09850302983969
Towan,50.4182930793456,-5.08417872138159
Great Western,50.415976061967,-5.07656644368544
Tolcarne,50.4176780168458,-5.07343859800726
Lusty Glaze,50.4217696277222,-5.06497385525916
Porth,50.4246784173834,-5.05699471231187
Watergate Bay,50.4437670324647,-5.04258913278166
Mawgan Porth,50.4674853014895,-5.03340112417438
